 nu =           0  k =            0    nst =           1
   24      2.1762909240      4.9592277191
   25      2.2204772571      6.6499407712
   26      2.2867213464      5.4427347109
   27      2.5205802013      6.0469238515
   28      2.5495125777      4.9888505468
   29      2.7237303797      5.8531931690
   30      2.9110602202      5.2552224514
   31      2.9421154102      5.0408315904
   32      3.1631912271      5.5310413933
   33      3.1902794794      5.3822461259
   34      3.5438483673      5.0014336962
 nu =           3  k =            7    nst =          35
    0     -1.4862737896      4.9991183094
    1     -1.1073352762      4.9985487050
    2     -0.8323488129      4.9966018594
    3     -0.5404467729      5.0033341190
    4     -0.2498578097      4.9976483576
    5     -0.0647249123      4.9957061078
    6      0.3379959004      4.9962735334
    7      0.4947949062      5.0001621214
    8      0.5746178892      4.9049679289
    9      0.6961156969      5.0829957199
   10      0.8600456927      5.0512523041
   11      1.0307836714      5.0066739089
   12      1.1210793485      4.9969130991
   13      1.3077049216      4.8813089986
   14      1.4232073916      5.2502271283
   15      1.5402867199      5.6012111451
   16      1.7372054859      5.7346286353
   17      1.7865064855      5.7011310201
   18      1.8157546676      5.2299309364
   19      1.8743925329      4.8351450944
   20      1.9166050290      5.8937580386
   21      1.9285633873      5.0609200220
   22      1.9948911508      5.0299138487
   23      2.0114664901      5.4408092374
   24      2.0544174376      6.2225478398
   25      2.1568930936      5.9499887052
   26      2.1831826266      5.6207631180
   27      2.4014160612      5.6537875598
   28      2.5293528558      5.0520649546
   29      2.6087645087      5.0654291847
   30      2.7506507373      5.0734475501
   31      2.9554818242      4.9461752339
   32      2.9877668298      5.4566921792
   33      3.1449354896      5.5949562524
   34      3.4387919742      5.0064578007
 nu =           3  k =            8    nst =          35
    0     -1.7963777007      4.9997959153
    1     -1.0662621909      4.9935761996
    2     -0.8447291019      5.0046983376
    3     -0.7255654759      4.9991047114
    4     -0.6629852625      5.0023669885
    5      0.0373439708      4.9900540133
    6      0.3227329232      4.9815752665
    7      0.4617112602      4.9614207710
    8      0.5358230586      5.0363022583
    9      0.6616023300      5.0186259249
   10      0.7508155406      5.0016597022
   11      0.8023746387      4.9974944382
   12      1.1439255870      5.0383084448
   13      1.3961122981      4.9302128193
   14      1.4176517656      5.1532165842
   15      1.5136194096      5.1014319431
   16      1.6030458904      5.0779075230
   17      1.6748821952      5.2745428857
   18      1.8869092542      5.9045527579
   19      1.9584676802      5.9752282211
   20      2.0000000000      6.2238603218
   21      2.0000000000      6.0577426061
   22      2.0292631939      5.9613960002
   23      2.0354617077      6.1781756218
   24      2.1007611931      5.1275095172
   25      2.1166974273      6.3411688514
   26      2.1463814743      4.7447922333
   27      2.2430547762      4.9502426704
   28      2.4777385074      5.0174425994
   29      2.6435617601      5.0738976934
   30      2.7265479738      5.0043010731
   31      2.9224037487      5.3807166936
   32      2.9720067660      4.9884723149
   33      3.1174009988      5.6597370541
   34      3.3976224020      5.0037179085
